id,source,team,category,updated_at,content
ticket_policy_5cc65cdf94f56fb3,https://yagu.today/calendar/2026/9,두산,ticket_policy,2026-09-05 03:01:02,[일반] 두산 일반예매 9월 11일 금요일 오전 11시 (9/18 키움전) 키움 vs 두산 (9/18) 오픈: 9월 11일 금요일 오전 예매처: 놀티켓 / 구단 홈페이지
ticket_policy_5a7649028384ad1f,https://yagu.today/calendar/2026/9,한화,ticket_policy,2026-09-05 03:01:02,[일반] 한화 일반예매 9월 11일 금요일 오전 11시 (9/18 삼성전) 삼성 vs 한화 (9/18) 오픈: 9월 11일 금요일 오전 최대 4매 예매처: 한화이글스 홈페이지 / 티켓링크 앱
ticket_policy_a7054a21fa90739d,https://yagu.today/calendar/2026/9,KT,ticket_policy,2026-09-05 03:01:02,[선예매] KT 시즌권 선예매 9월 11일 금요일 오후 1시 (9/18 LG전) LG vs KT (9/18) 오픈: 9월 11일 금요일 오후 최대 2매 예매처: 티켓링크 / WIZ APP
ticket_policy_bd46583f5d2b2cb0,https://yagu.today/calendar/2026/9,KT,ticket_policy,2026-09-05 03:01:02,"[선예매] KT 매직회원 9월 11일 금요일 오후 2시 (9/18 LG전) LG vs KT (9/18) 오픈: 9월 11일 금요일 오후 예매처: 티켓링크 / WIZ APP 시즌 6매, 응원지정석만"
ticket_policy_bd46583f5d2b2cb0,https://yagu.today/calendar/2026/9,KT,ticket_policy,2026-09-05 03:01:02,[선예매] KT 빅또리 9월 11일 금요일 오후 2시 (9/18 LG전) LG vs KT (9/18) 오픈: 9월 11일 금요일 오후 예매처: 티켓링크 / WIZ APP 시즌 10매
ticket_policy_043601373ac98ee6,https://yagu.today/calendar/2026/9,LG,ticket_policy,2026-09-05 03:01:02,"[선예매] LG 선예매 9월 11일 금요일 오후 2시 (9/19 한화전) 한화 vs LG (9/19) 오픈: 9월 11일 금요일 오후 최대 4매 예매처: 구단 홈페이지 구단 홈페이지만. 불가: 1루 블루 109, 1루 오렌지 205, 1루 레드 203, 1루 네이비 303/308, 3루 오렌지 219~222, 3루 네이비 326~330"
ticket_policy_043601373ac98ee6,https://yagu.today/calendar/2026/9,LG,ticket_policy,2026-09-05 03:01:02,[선예매] LG 선선예매 (장기회원) 9월 11일 금요일 오후 2시 (9/20 한화전) 한화 vs LG (9/20) 오픈: 9월 11일 금요일 오후 최대 4매 예매처: 구단 홈페이지 1루 오렌지 불가
ticket_policy_a2572a8cce3e00a8,https://yagu.today/calendar/2026/9,KT,ticket_policy,2026-09-05 03:01:02,[일반] KT 일반예매 9월 11일 금요일 오후 4시 (9/18 LG전) LG vs KT (9/18) 오픈: 9월 11일 금요일 오후 예매처: 티켓링크 / WIZ APP
ticket_policy_d5572570210421b4,https://yagu.today/calendar/2026/9,NC,ticket_policy,2026-09-05 03:01:02,[선예매] NC 민트멤버십플러스 9월 11일 금요일 오후 5시 (9/19 KIA전) KIA vs NC (9/19) 오픈: 9월 11일 금요일 오후 최대 4매 예매처: 구단 홈페이지 / 앱
ticket_policy_19c86dcb940f592e,https://yagu.today/calendar/2026/9,LG,ticket_policy,2026-09-05 03:01:02,[일반] LG 일반예매 9월 12일 토요일 오전 11시 (9/19 한화전) 한화 vs LG (9/19) 오픈: 9월 12일 토요일 오전 예매처: 티켓링크 / 구단 홈페이지
